.model_id,.model_desc,.type,id,mae,mape,mase,smape,rmse,rsq
16,RECURSIVE XGBOOST,Test,Nuclear Electric Power Production,0.05790717325178782,7.166792133467717,0.36957454516248633,6.792326725501183,0.06929301383906555,0.9804073004670204
26,LIGHTGBM,Test,Nuclear Electric Power Production,0.06735030618788952,8.683448912283941,0.4298424077396142,8.24795334414472,0.07123481634234564,0.9937566519267487
24,KERNLAB,Test,Hydroelectric Power Production,0.06684231422309513,28.456275408468663,1.2836035263652512,24.206974234301445,0.0712922360037378,0.9056662274139318
24,KERNLAB,Test,Solar Energy Production,0.0686437164902485,60.46442865123542,4.252411242605079,45.35745108452275,0.07206995039514894,0.5958796690067781
16,RECURSIVE XGBOOST,Test,Biomass Energy Production,0.05798645956754685,12.5972415549843,0.6718959346111628,11.349028134028918,0.07506539841669606,0.9248590033021561
26,LIGHTGBM,Test,Geothermal Energy Production,0.07334953393723505,378.6630412518524,22.646038452486124,126.48910232799221,0.0753533670468509,0.0016284694801624708
20,RECURSIVE RANDOMFOREST,Test,Natural Gas Plant Liquids Production,0.05285265847186382,6.343672300018214,0.4780555574640116,6.53407700939935,0.07563254789809956,0.9654819253482838
16,RECURSIVE XGBOOST,Test,Wind Energy Production,0.059535224579970035,18.046428709964736,0.9538934036314354,20.38206981675295,0.07608253979327886,0.8283307302051542
5,GLMNET,Test,Nuclear Electric Power Production,0.06635392909303163,8.786293041615368,0.42348334044338665,8.245764020088588,0.07667902042068336,0.9714122777387971
20,RECURSIVE RANDOMFOREST,Test,Biomass Energy Production,0.06522218347340014,14.874161112997639,0.7557371194768886,13.295417478599672,0.07740093122262698,0.9427924756577846
1,WINDOW FUNC [6],Test,Hydroelectric Power Production,0.060648125,23.99709398185277,1.1646536781717638,23.030863897509544,0.07753053160084862,NA
2,WINDOW FUNC [12],Test,Hydroelectric Power Production,0.06522674305555555,26.95919544684571,1.2525789744500317,24.76237763539146,0.07804935836337916,NA
22,RECURSIVE RANDOMFOREST,Test,Biomass Energy Production,0.06745437096925379,15.048243625842112,0.7816017388197347,13.485564744194642,0.07839496322790167,0.945331354095947
21,RANDOMFOREST,Test,Biomass Energy Production,0.07650673140639122,16.475552816427633,0.8864925050728897,14.949739115983245,0.08020497433821454,0.9800133091930315
29,Tuned LightGBM - Calendar,Test,Wind Energy Production,0.07259897476825433,27.95166128589251,1.2185861308883101,26.161453088605352,0.0803412024358473,0.3654903415554684
24,KERNLAB,Test,Natural Gas Plant Liquids Production,0.06179045472062003,7.53212787659329,0.5588984760936111,7.708746251589672,0.08608606959159923,0.9750086313503638
24,KERNLAB,Test,Biomass Energy Production,0.07822459898624194,17.750325495259823,0.9063976389905327,15.792834374387454,0.08646102021054027,0.960398092278678
15,XGBOOST,Test,Wind Energy Production,0.08090340946065055,32.845472462689514,1.2962616528328623,27.20208664164509,0.08773700920659522,0.9192762144302711
3,SNAIVE [12],Test,Natural Gas Plant Liquids Production,0.08240766666666668,11.61680158775084,0.7453824304526517,12.413885666256201,0.09081711840796276,0.9857559914995124
24,KERNLAB,Test,Geothermal Energy Production,0.0865132478913653,429.39243681388683,26.710222045497773,132.18066822109895,0.091229034859618,0.24293808429251118
26,LIGHTGBM,Test,Natural Gas Plant Liquids Production,0.08482028569724721,13.344169936864228,0.7672047184691846,12.551746114276929,0.09326771803137814,0.9770302646933685
15,XGBOOST,Test,Solar Energy Production,0.09252257970126469,84.82802712413381,5.7316835135576465,58.04606290088283,0.09430425910632591,0.3622976562872958
15,XGBOOST,Test,Natural Gas Plant Liquids Production,0.08441036371644339,12.84896358781805,0.7634969488561528,12.233174331196741,0.09443195914495123,0.9615424903812269
18,LIGHTGBM,Test,Wind Energy Production,0.08962575009342852,37.35066169662179,1.4360139297837515,29.714877383151165,0.10008614190492636,0.86161659190587
26,LIGHTGBM,Test,Biomass Energy Production,0.10018842235021488,22.204900901664494,1.160895046434086,19.56982304172924,0.10446203222263986,0.979275625994037
18,LIGHTGBM,Test,Nuclear Electric Power Production,0.10062325080077403,13.150690257516798,0.642196640919935,12.181493184393732,0.10505716202674042,0.9904399210444672
18,LIGHTGBM,Test,Solar Energy Production,0.10251783565788579,93.38535856297932,6.350879865035629,61.984926142910915,0.10510796709665732,0.16936723911823204
15,XGBOOST,Test,Nuclear Electric Power Production,0.10650336332114538,13.602035405728216,0.679724632500035,12.654524102574143,0.10763360853412283,0.9974607655711208
5,GLMNET,Test,Biomass Energy Production,0.07879303530558514,12.644883636191073,0.9129841775531626,11.756650852929376,0.1148569770174354,0.968064069682589
12,PROPHET W/ XGBOOST ERRORS,Test,Nuclear Electric Power Production,0.1050856391556327,13.339902787756074,0.6706764484113903,12.313336112137542,0.11498642514072395,0.9731816462945185
18,LIGHTGBM,Test,Biomass Energy Production,0.10254819149532715,24.385784869819556,1.1882379693689629,20.83031292212137,0.1161201693619481,0.9647967383897851
21,RANDOMFOREST,Test,Natural Gas Plant Liquids Production,0.0933337826450567,11.403120022298403,0.8442098237378223,12.370983504255921,0.1236954726386257,0.9831916209217453
12,PROPHET W/ XGBOOST ERRORS,Test,Biomass Energy Production,0.09228096202273159,15.242573704706514,1.0692703725574868,14.862550781911823,0.12465530894613383,0.9702253825753908
27,DEEPAR,Test,Crude Oil Production,0.0720194804636638,2.2698308622122423,0.162138114356742,2.3019151511106206,0.12560086953801683,0.9987679705338641
1,WINDOW FUNC [6],Test,Wind Energy Production,0.0926639861111111,26.7120982977097,1.4846935697177528,28.68720513080761,0.1282240556017228,NA
15,XGBOOST,Test,Geothermal Energy Production,0.12964101975989342,661.2994726632865,40.025551096401806,151.54076642659976,0.12967958364678997,0.7596270823389624
2,WINDOW FUNC [12],Test,Wind Energy Production,0.09007352777777777,24.845970665670652,1.4431883745331848,27.644615324567308,0.13118185087840564,NA
18,LIGHTGBM,Test,Hydroelectric Power Production,0.12426410819491349,56.07314982905075,2.386300494433093,41.29349789575256,0.13176248768771193,0.6846276248687002
